 index  ID    boreID  modeltime_days  modeldate  gwlevel_m
   158   1  R26/6626     1112.995239 1995-07-19   9.931024
   159   1  R26/6626     1119.995239 1995-07-26   9.920614
   160   1  R26/6626     1126.995239 1995-08-02   9.903604
   161   1  R26/6626     1133.995239 1995-08-09   9.905906
   162   1  R26/6626     1140.995239 1995-08-16   9.885840
   163   1  R26/6626     1147.995239 1995-08-23   9.874537
   164   1  R26/6626     1154.995239 1995-08-30   9.874792
   165   1  R26/6626     1161.995239 1995-09-06   9.869489
   166   1  R26/6626     1168.995239 1995-09-13   9.848007
   167   1  R26/6626     1175.995239 1995-09-20   9.826147
   168   1  R26/6626     1182.995239 1995-09-27   9.872824
   169   1  R26/6626     1189.995239 1995-10-04   9.907812
   170   1  R26/6626     1196.995239 1995-10-11   9.980655
   171   1  R26/6626     1203.995239 1995-10-18   9.959988
   172   1  R26/6626     1210.995239 1995-10-25   9.939148
   173   1  R26/6626     1217.995239 1995-11-01   9.917891
   174   1  R26/6626     1224.995239 1995-11-08   9.909389
   175   1  R26/6626     1231.995239 1995-11-15   9.887580
   176   1  R26/6626     1238.995239 1995-11-22   9.865428
   177   1  R26/6626     1245.995239 1995-11-29   9.842916
   178   1  R26/6626     1252.995239 1995-12-06   9.820047
   179   1  R26/6626     1259.995239 1995-12-13   9.796880
   180   1  R26/6626     1266.995239 1995-12-20   9.773473
   181   1  R26/6626     1273.995239 1995-12-27   9.749870
   182   1  R26/6626     1280.995239 1996-01-03   9.726107
   183   1  R26/6626     1287.995239 1996-01-10   9.702224
   184   1  R26/6626     1294.995239 1996-01-17   9.678261
   185   1  R26/6626     1301.995239 1996-01-24   9.654254
   186   1  R26/6626     1308.995239 1996-01-31   9.630232
   187   1  R26/6626     1315.995239 1996-02-07   9.606228
   188   1  R26/6626     1322.995239 1996-02-14   9.607735
   189   1  R26/6626     1329.995239 1996-02-21   9.634707
   190   1  R26/6626     1336.995239 1996-02-28   9.611759
   191   1  R26/6626     1343.995239 1996-03-06   9.588951
   192   1  R26/6626     1350.995239 1996-03-13   9.566166
   193   1  R26/6626     1357.995239 1996-03-20   9.543348
   194   1  R26/6626     1364.995239 1996-03-27   9.520457
   195   1  R26/6626     1371.995239 1996-04-03   9.497491
   196   1  R26/6626     1378.995239 1996-04-10   9.490842
   197   1  R26/6626     1385.995239 1996-04-17   9.548092
   198   1  R26/6626     1392.995239 1996-04-24   9.527745
   199   1  R26/6626     1399.995239 1996-05-01   9.506037
   200   1  R26/6626     1406.995239 1996-05-08   9.504181
   201   1  R26/6626     1413.995239 1996-05-15   9.534804
   202   1  R26/6626     1420.995239 1996-05-22   9.697382
   203   1  R26/6626     1427.995239 1996-05-29   9.717988
   204   1  R26/6626     1434.995239 1996-06-05   9.731805
   205   1  R26/6626     1441.995239 1996-06-12   9.775187
   206   1  R26/6626     1448.995239 1996-06-19   9.776133
   207   1  R26/6626     1455.995239 1996-06-26   9.833437
   208   1  R26/6626     1462.995239 1996-07-03   9.885195
   209   1  R26/6626     1469.995239 1996-07-10   9.910766
   210   1  R26/6626     1476.995239 1996-07-17   9.913539
   211   1  R26/6626     1483.995239 1996-07-24   9.957298
   212   1  R26/6626     1490.995239 1996-07-31  10.005957
   213   1  R26/6626     1497.995239 1996-08-07  10.036611
   214   1  R26/6626     1504.995239 1996-08-14  10.016617
   215   1  R26/6626     1511.995239 1996-08-21  10.055359
   216   1  R26/6626     1518.995239 1996-08-28  10.034664
   217   1  R26/6626     1525.995239 1996-09-04  10.030359
   218   1  R26/6626     1532.995239 1996-09-11  10.130604
   219   1  R26/6626     1539.995239 1996-09-18  10.118742
   220   1  R26/6626     1546.995239 1996-09-25  10.097034
   221   1  R26/6626     1553.995239 1996-10-02  10.107199
