    ID                  CURVE             X             Y
     1               S27/0428   1232.000000      3.913588 
     1               S27/0428   1239.000000      3.900418 
     1               S27/0428   1246.000000      3.879176 
     1               S27/0428   1253.000000      3.850636 
     1               S27/0428   1260.000000      3.824696 
     1               S27/0428   1267.000000      3.799568 
     1               S27/0428   1274.000000      3.777533 
     1               S27/0428   1281.000000      3.751617 
     1               S27/0428   1288.000000      3.725873 
     1               S27/0428   1295.000000      3.703136 
     1               S27/0428   1302.000000      3.687838 
     1               S27/0428   1309.000000      3.677163 
     1               S27/0428   1316.000000      3.673825 
     1               S27/0428   1323.000000      3.669621 
     1               S27/0428   1330.000000      3.682600 
     1               S27/0428   1337.000000      3.681559 
     1               S27/0428   1344.000000      3.675410 
     1               S27/0428   1351.000000      3.672907 
     1               S27/0428   1358.000000      3.672346 
     1               S27/0428   1365.000000      3.664274 
     1               S27/0428   1372.000000      3.671803 
     1               S27/0428   1379.000000      3.674929 
     1               S27/0428   1386.000000      3.683668 
     1               S27/0428   1393.000000      3.681437 
     1               S27/0428   1400.000000      3.673109 
     1               S27/0428   1407.000000      3.669440 
     1               S27/0428   1414.000000      3.671060 
     1               S27/0428   1421.000000      3.686758 
     1               S27/0428   1428.000000      3.701485 
     1               S27/0428   1435.000000      3.705033 
     1               S27/0428   1442.000000      3.721767 
     1               S27/0428   1449.000000      3.736145 
     1               S27/0428   1456.000000      3.761700 
     1               S27/0428   1463.000000      3.795856 
     1               S27/0428   1470.000000      3.844484 
     1               S27/0428   1477.000000      3.894613 
     1               S27/0428   1484.000000      3.937189 
     1               S27/0428   1491.000000      3.973921 
     1               S27/0428   1498.000000      3.995639 
     1               S27/0428   1505.000000      4.010487 
     1               S27/0428   1512.000000      4.030247 
     1               S27/0428   1519.000000      4.029057 
     1               S27/0428   1526.000000      4.026882 
     1               S27/0428   1533.000000      4.037414 
     1               S27/0428   1540.000000      4.029887 
     1               S27/0428   1547.000000      4.008628 
     1               S27/0428   1554.000000      3.988460 
     1               S27/0428   1561.000000      3.975900 
     1               S27/0428   1568.000000      3.956653 
     1               S27/0428   1575.000000      3.938735 
     1               S27/0428   1582.000000      3.909627 
     1               S27/0428   1589.000000      3.878293 
     1               S27/0428   1596.000000      3.875613 
     1               S27/0428   1603.000000      3.886431 
     1               S27/0428   1610.000000      3.878368 
     1               S27/0428   1617.000000      3.874933 
     1               S27/0428   1624.000000      3.856864 
     1               S27/0428   1631.000000      3.862544 
     1               S27/0428   1638.000000      3.850232 
     1               S27/0428   1645.000000      3.836968 
     1               S27/0428   1652.000000      3.820744 
     1               S27/0428   1659.000000      3.812568 
     1               S27/0428   1666.000000      3.793700 
     1               S27/0428   1673.000000      3.769090 
     1               S27/0428   1680.000000      3.751892 
     1               S27/0428   1687.000000      3.741271 
     1               S27/0428   1694.000000      3.729906 
     1               S27/0428   1701.000000      3.719341 
     1               S27/0428   1708.000000      3.714390 
     1               S27/0428   1715.000000      3.702596 
     1               S27/0428   1722.000000      3.705582 
     1               S27/0428   1729.000000      3.704255 
     1               S27/0428   1736.000000      3.694403 
     1               S27/0428   1743.000000      3.687246 
     1               S27/0428   1750.000000      3.684257 
     1               S27/0428   1757.000000      3.683648 
     1               S27/0428   1764.000000      3.675175 
     1               S27/0428   1771.000000      3.660950 
     1               S27/0428   1778.000000      3.644312 
     1               S27/0428   1785.000000      3.628577 
     1               S27/0428   1792.000000      3.625749 
     1               S27/0428   1799.000000      3.634323 
     1               S27/0428   1806.000000      3.635508 
     1               S27/0428   1813.000000      3.644912 
     1               S27/0428   1820.000000      3.645189 
     1               S27/0428   1827.000000      3.672826 
     1               S27/0428   1834.000000      3.694158 
     1               S27/0428   1841.000000      3.710697 
     1               S27/0428   1848.000000      3.710316 
     1               S27/0428   1855.000000      3.706830 
     1               S27/0428   1862.000000      3.715414 
     1               S27/0428   1869.000000      3.733620 
     1               S27/0428   1876.000000      3.757304 
     1               S27/0428   1883.000000      3.773898 
     1               S27/0428   1890.000000      3.774154 
     1               S27/0428   1897.000000      3.765743 
     1               S27/0428   1904.000000      3.758237 
     1               S27/0428   1911.000000      3.749294 
     1               S27/0428   1918.000000      3.782577 
     1               S27/0428   1925.000000      3.809416 
     1               S27/0428   1932.000000      3.832205 
     1               S27/0428   1939.000000      3.834846 
     1               S27/0428   1946.000000      3.820841 
     1               S27/0428   1953.000000      3.801569 
     1               S27/0428   1960.000000      3.799770 
     1               S27/0428   1967.000000      3.796792 
     1               S27/0428   1974.000000      3.794224 
     1               S27/0428   1981.000000      3.792552 
     1               S27/0428   1988.000000      3.774816 
     1               S27/0428   1995.000000      3.775967 
     1               S27/0428   2002.000000      3.776901 
     1               S27/0428   2009.000000      3.762902 
     1               S27/0428   2016.000000      3.743037 
     1               S27/0428   2023.000000      3.723009 
     1               S27/0428   2030.000000      3.700552 
     1               S27/0428   2037.000000      3.692275 
     1               S27/0428   2044.000000      3.676492 
     1               S27/0428   2051.000000      3.666639 
     1               S27/0428   2058.000000      3.659150 
     1               S27/0428   2065.000000      3.651796 
     1               S27/0428   2072.000000      3.637135 
     1               S27/0428   2079.000000      3.629983 
     1               S27/0428   2086.000000      3.616057 
     1               S27/0428   2093.000000      3.603898 
     1               S27/0428   2100.000000      3.604610 
     1               S27/0428   2107.000000      3.598060 
     1               S27/0428   2114.000000      3.589980 
     1               S27/0428   2121.000000      3.584525 
     1               S27/0428   2128.000000      3.588321 
     1               S27/0428   2135.000000      3.593285 
     1               S27/0428   2142.000000      3.594823 
     1               S27/0428   2149.000000      3.589288 
     1               S27/0428   2156.000000      3.589324 
     1               S27/0428   2163.000000      3.589110 
     1               S27/0428   2170.000000      3.589059 
     1               S27/0428   2177.000000      3.594413 
     1               S27/0428   2184.000000      3.610171 
     1               S27/0428   2191.000000      3.641538 
     1               S27/0428   2198.000000      3.671890 
     1               S27/0428   2205.000000      3.694909 
     1               S27/0428   2212.000000      3.713345 
     1               S27/0428   2219.000000      3.740769 
     1               S27/0428   2226.000000      3.753039 
     1               S27/0428   2233.000000      3.769804 
     1               S27/0428   2240.000000      3.770654 
     1               S27/0428   2247.000000      3.769407 
     1               S27/0428   2254.000000      3.778571 
     1               S27/0428   2261.000000      3.780241 
     1               S27/0428   2268.000000      3.782676 
     1               S27/0428   2275.000000      3.775621 
     1               S27/0428   2282.000000      3.771803 
     1               S27/0428   2289.000000      3.776510 
     1               S27/0428   2296.000000      3.798092 
     1               S27/0428   2303.000000      3.837134 
     1               S27/0428   2310.000000      3.870376 
     1               S27/0428   2317.000000      3.874690 
     1               S27/0428   2324.000000      3.858113 
     1               S27/0428   2331.000000      3.831349 
     1               S27/0428   2338.000000      3.813874 
     1               S27/0428   2345.000000      3.807975 
     1               S27/0428   2352.000000      3.798359 
     1               S27/0428   2359.000000      3.787118 
     1               S27/0428   2366.000000      3.770491 
     1               S27/0428   2373.000000      3.744988 
     1               S27/0428   2380.000000      3.727719 
     1               S27/0428   2387.000000      3.713594 
     1               S27/0428   2394.000000      3.700156 
     1               S27/0428   2401.000000      3.685351 
     1               S27/0428   2408.000000      3.668824 
     1               S27/0428   2415.000000      3.648192 
     1               S27/0428   2422.000000      3.627114 
     1               S27/0428   2429.000000      3.617615 
     1               S27/0428   2436.000000      3.606972 
     1               S27/0428   2443.000000      3.598732 
     1               S27/0428   2450.000000      3.592897 
     1               S27/0428   2457.000000      3.585994 
     1               S27/0428   2464.000000      3.576294 
     1               S27/0428   2471.000000      3.570090 
     1               S27/0428   2478.000000      3.576551 
     1               S27/0428   2485.000000      3.583914 
     1               S27/0428   2492.000000      3.594192 
     1               S27/0428   2499.000000      3.613732 
     1               S27/0428   2506.000000      3.634354 
     1               S27/0428   2513.000000      3.643245 
     1               S27/0428   2520.000000      3.664591 
     1               S27/0428   2527.000000      3.682105 
     1               S27/0428   2534.000000      3.692112 
     1               S27/0428   2541.000000      3.709827 
     1               S27/0428   2548.000000      3.710027 
     1               S27/0428   2555.000000      3.705378 
     1               S27/0428   2562.000000      3.702599 
     1               S27/0428   2569.000000      3.696325 
     1               S27/0428   2576.000000      3.689670 
     1               S27/0428   2583.000000      3.710380 
     1               S27/0428   2590.000000      3.726835 
     1               S27/0428   2597.000000      3.732932 
     1               S27/0428   2604.000000      3.753138 
     1               S27/0428   2611.000000      3.760792 
     1               S27/0428   2618.000000      3.754002 
     1               S27/0428   2625.000000      3.743443 
     1               S27/0428   2632.000000      3.734829 
     1               S27/0428   2639.000000      3.735833 
     1               S27/0428   2646.000000      3.726219 
     1               S27/0428   2653.000000      3.716413 
     1               S27/0428   2660.000000      3.708508 
     1               S27/0428   2667.000000      3.698963 
     1               S27/0428   2674.000000      3.699045 
     1               S27/0428   2681.000000      3.694955 
     1               S27/0428   2688.000000      3.702349 
     1               S27/0428   2695.000000      3.698339 
     1               S27/0428   2702.000000      3.698711 
     1               S27/0428   2709.000000      3.702478 
     1               S27/0428   2716.000000      3.695708 
     1               S27/0428   2723.000000      3.700869 
     1               S27/0428   2730.000000      3.699290 
     1               S27/0428   2737.000000      3.692919 
     1               S27/0428   2744.000000      3.684966 
     1               S27/0428   2751.000000      3.668818 
     1               S27/0428   2758.000000      3.649060 
     1               S27/0428   2765.000000      3.647358 
     1               S27/0428   2772.000000      3.645257 
     1               S27/0428   2779.000000      3.633841 
     1               S27/0428   2786.000000      3.621874 
     1               S27/0428   2793.000000      3.607288 
     1               S27/0428   2800.000000      3.590319 
     1               S27/0428   2807.000000      3.572827 
     1               S27/0428   2814.000000      3.565706 
     1               S27/0428   2821.000000      3.569370 
     1               S27/0428   2828.000000      3.570838 
     1               S27/0428   2835.000000      3.591997 
     1               S27/0428   2842.000000      3.609473 
     1               S27/0428   2849.000000      3.612129 
     1               S27/0428   2856.000000      3.608968 
     1               S27/0428   2863.000000      3.603757 
     1               S27/0428   2870.000000      3.609607 
     1               S27/0428   2877.000000      3.620537 
     1               S27/0428   2884.000000      3.621177 
     1               S27/0428   2891.000000      3.638845 
     1               S27/0428   2898.000000      3.663263 
     1               S27/0428   2905.000000      3.677954 
     1               S27/0428   2912.000000      3.678910 
     1               S27/0428   2919.000000      3.675507 
     1               S27/0428   2926.000000      3.682693 
     1               S27/0428   2933.000000      3.680167 
     1               S27/0428   2940.000000      3.675980 
     1               S27/0428   2947.000000      3.685764 
     1               S27/0428   2954.000000      3.683352 
     1               S27/0428   2961.000000      3.692849 
     1               S27/0428   2968.000000      3.706884 
     1               S27/0428   2975.000000      3.716148 
     1               S27/0428   2982.000000      3.720619 
     1               S27/0428   2989.000000      3.735576 
     1               S27/0428   2996.000000      3.744700 
     1               S27/0428   3003.000000      3.745163 
     1               S27/0428   3010.000000      3.780004 
     1               S27/0428   3017.000000      3.824641 
     1               S27/0428   3024.000000      3.864463 
     1               S27/0428   3031.000000      3.871727 
     1               S27/0428   3038.000000      3.857865 
     1               S27/0428   3045.000000      3.840617 
     1               S27/0428   3052.000000      3.820939 
     1               S27/0428   3059.000000      3.796878 
     1               S27/0428   3066.000000      3.775250 
     1               S27/0428   3073.000000      3.759175 
     1               S27/0428   3080.000000      3.737912 
     1               S27/0428   3087.000000      3.721145 
     1               S27/0428   3094.000000      3.701075 
     1               S27/0428   3101.000000      3.699069 
     1               S27/0428   3108.000000      3.688113 
     1               S27/0428   3115.000000      3.674289 
     1               S27/0428   3122.000000      3.659788 
     1               S27/0428   3129.000000      3.657071 
     1               S27/0428   3136.000000      3.644686 
     1               S27/0428   3143.000000      3.631079 
     1               S27/0428   3150.000000      3.615742 
     1               S27/0428   3157.000000      3.597766 
     1               S27/0428   3164.000000      3.579597 
     1               S27/0428   3171.000000      3.563047 
     1               S27/0428   3178.000000      3.549581 
     1               S27/0428   3185.000000      3.534575 
     1               S27/0428   3192.000000      3.533854 
     1               S27/0428   3199.000000      3.527061 
     1               S27/0428   3206.000000      3.518959 
     1               S27/0428   3213.000000      3.510631 
     1               S27/0428   3220.000000      3.501592 
     1               S27/0428   3227.000000      3.494960 
     1               S27/0428   3234.000000      3.491612 
     1               S27/0428   3241.000000      3.497351 
     1               S27/0428   3248.000000      3.520579 
     1               S27/0428   3255.000000      3.530669 
     1               S27/0428   3262.000000      3.542717 
     1               S27/0428   3269.000000      3.553874 
     1               S27/0428   3276.000000      3.562895 
     1               S27/0428   3283.000000      3.567276 
     1               S27/0428   3290.000000      3.565453 
     1               S27/0428   3297.000000      3.560974 
     1               S27/0428   3304.000000      3.576712 
     1               S27/0428   3311.000000      3.595342 
     1               S27/0428   3318.000000      3.607226 
     1               S27/0428   3325.000000      3.611206 
     1               S27/0428   3332.000000      3.642754 
     1               S27/0428   3339.000000      3.680281 
     1               S27/0428   3346.000000      3.696109 
     1               S27/0428   3353.000000      3.697197 
     1               S27/0428   3360.000000      3.688715 
     1               S27/0428   3367.000000      3.677908 
     1               S27/0428   3374.000000      3.664525 
     1               S27/0428   3381.000000      3.649596 
     1               S27/0428   3388.000000      3.654624 
     1               S27/0428   3395.000000      3.659004 
     1               S27/0428   3402.000000      3.660643 
     1               S27/0428   3409.000000      3.679567 
     1               S27/0428   3416.000000      3.682533 
     1               S27/0428   3423.000000      3.685241 
     1               S27/0428   3430.000000      3.696038 
     1               S27/0428   3437.000000      3.694485 
     1               S27/0428   3444.000000      3.710746 
     1               S27/0428   3451.000000      3.723733 
